MR Time (1),MF Time (1),MR Time (2),MF Time (2),MR Time (3),MF Time (3),MR Time (4),MF Time (4),MR Time (5),MF Time (5),MR Time (6),MF Time (6),MR Time (7),MF Time (7),MR Time (8),MF Time (8),MR Time (9),MF Time (9),MR Time (10),MF Time (10),MR Time (11),MF Time (11),MR Time (12),MF Time (12),MR Time (13),MF Time (13),MR Time (14),MF Time (14),MR Time (15),MF Time (15),MR Time (16),MF Time (16),MR Time (17),MF Time (17)
10.38,2.15,11.38,5.66,8.87,5.35,8.18,3.55,8.31,1.68,11.79,6.09,12.3,6.77,7.93,1.61,13.21,5.3,9.98,1.7,8,0.88,8.29,5.46,19.59,1.97,13.4,2.85,7.82,4.21,13.25,7.68,22.38,5.76
10.29,2.11,13.29,5.28,8.66,5.86,7.72,3.46,8.2,1.74,10.14,5.69,12.12,5.8,8,1.63,11.65,4.97,10.33,1.46,7.91,1.06,7.82,5.59,18.8,2.28,14.34,3.05,7.72,4.03,14.64,6.31,23.51,6.02
10.83,2.22,12.3,5.35,8.16,5.82,7.35,3.98,7.86,1.75,10.38,5.9,11.85,6.27,7.69,1.67,13.77,5.63,9.55,1.6,7.66,0.97,8.04,5.76,18.83,2.13,13.79,3,7.64,3.88,13.22,6.24,20.13,5.66
9.84,2.19,13.84,6.21,8.53,5.22,7.1,4.02,7.7,1.7,11.24,5.81,12.26,6,7.62,1.52,12.11,5.7,9.04,1.61,7.83,0.96,7.82,5.5,19.73,2.02,13.38,2.93,7.62,3.82,14.77,6.14,22.84,5.78
9.57,1.77,12.04,5.95,8.62,5.83,7.95,3.55,8.15,1.85,11.28,5.71,12.06,5.84,8.04,1.65,12.29,5.41,9.97,1.48,7.95,1.01,8.29,5.67,19.69,2.11,14.84,3.08,7.66,3.61,14.35,5.88,20.86,6.04
9.55,2.31,12.37,5.77,8.95,5.05,7.88,3.98,8.4,1.81,11.23,5.62,11.57,6.02,7.6,1.69,13.16,5.5,10.15,1.7,7.64,0.82,8.66,6.69,,,12.5,2.8,7.21,3.89,13.62,6.36,21.16,5.95
9.58,2.23,13.13,,9.06,4.72,7.88,,7.91,1.66,11.52,5.15,12.01,5.88,7.96,1.74,13.39,5.39,9.71,1.68,7.46,0.95,7.75,5.3,,,12.84,3.01,7.55,3.93,14.19,6.09,20.26,5.36
8.55,2.1,,,,,,,8.49,1.93,10.8,5.91,12.87,5.78,7.95,1.73,12.24,5.05,11.43,1.67,7.82,0.96,8.03,5.57,,,14.88,2.83,7.46,4,13.69,6.14,22.05,5.71
9.39,2.36,,,,,,,8.33,1.74,,,11.04,5.78,7.7,1.66,12.24,5.41,11.5,1.66,7.77,1.06,7.96,5.61,,,13.23,3.04,7.12,3.79,14.05,6.18,21.28,5.75
9.61,2.26,,,,,,,8.3,1.65,,,11.79,5.37,8.33,1.75,13.05,5.8,11.36,1.72,7.53,0.95,7.08,5.07,,,13.72,2.79,7.4,3.83,14.16,6.18,20.46,5.57
